"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgvehicles_combatboots_colorbase1","Leather and canvas boots. They provide ankle stability and protect the feet while on rough terrain.","Leather and canvas boots. They provide ankle stability and protect the feet while on rough terrain.","Kožené a plátěné boty. Fixují kotníky a v náročném terénu chrání chodidla.","Stiefel aus Leder und Leinen. Stabilisieren die Knöchel und schützen die Füße in schwierigem Gelände.","Ботинки из кожи и брезента. Хорошо поддерживают голеностопный сустав и защищают ноги на пересеченной местности.","Buty ze skóry i materiału. Trzymają kostkę w miejscu i chronią stopy na nierównym podłożu.","Leather and canvas boots. They provide ankle stability and protect the feet while on rough terrain.","Calzature in tela e pelle, forniscono stabilità alle caviglie e proteggono i piedi sui terreni accidentati.","Botas de lona y cuero. Ofrecen estabilidad en los tobillos y protegen el pie en terrenos escarpados.","Des chaussures en cuir et en toile. Elles maintiennent la cheville et protègent les pieds en terrain difficile.","皮製的帆布靴。可在崎嶇地形時穩定腳踝並保護雙腳。","革とキャンバス生地で作られているブーツ。でこぼこの地形でも足首を安定させ、足を保護してくれる。","Leather and canvas boots. They provide ankle stability and protect the feet while on rough terrain.","皮革帆布靴。它们可在崎岖的地形上稳定脚踝和保护双脚。",
"str_cfgvehicles_combatboots_colorbase0","Hunter Boots","Hunter Boots","Lovecké boty","Jagdstiefel","Охотничьи ботинки","Buty myśliwskie","Hunter Boots","Scarponi da cacciatore","Botas de caza","Chaussures de chasse","獵人靴","狩猟用ブーツ","Hunter Boots","猎人靴",
"str_cfgvehicles_combatboots_brown0","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.",
"str_cfgvehicles_combatboots_black0","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.",
"str_cfgvehicles_combatboots_beige0","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","$UNT$A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.",
"str_cfgvehicles_ballerinas_yellow0","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_ballerinas_white0","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_ballerinas_red0","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_ballerinas_colorbase1","Low women's shoes, part of a formal outfit. Impractical, but look attractive and easy on the feet.","Low women's shoes, part of a formal outfit. Impractical, but look attractive and easy on the feet.","Nízké dámské boty, které jsou součástí formálního oblečení. Nejsou praktické, ale na noze vypadají hezky a nenuceně.","Flache Frauenschuhe, Bestandteil formeller Outfits.
Nicht besonders praktisch, aber hübsch und fußschonend.","Низкая женская обувь. Часть строгого костюма. Не особо практичная, зато привлекательная.","Niskie obuwie damskie, część eleganckiego stroju. Niepraktyczne, ale ładne i wygodne.","Low women's shoes, part of a formal outfit. Impractical, but look attractive and easy on the feet.","Scarpe da donna basse, parte di un completo formale. Poco pratiche, ma graziose e comode.","Zapatos bajos de mujer, pensados para un atuendo formal. No son muy prácticos, pero son cómodos para el pie y atractivos a la vista.","Des chaussures basses, qui s'accordent avec un ensemble habillé pour femme. Pas très pratiques, mais esthétiques et confortables.","女用平底鞋，是正式服裝的一部分。不實用，但穿上後非常美觀好看。","かかとの低い女性用の靴で正装する時に履く。実用性はないが、魅力的に見せてくれて、しかも足が楽。","Low women's shoes, part of a formal outfit. Impractical, but look attractive and easy on the feet.","低跟女鞋，是正装的一部分。不太实用，但穿在脚上看起来漂亮而舒适。",
"str_cfgvehicles_ballerinas_colorbase0","Flat Shoes","Flat Shoes","Ploché boty","Ballerinas","Балетки","Buty na płaskim obcasie","Flat Shoes","Ballerine","Zapato plano","Chaussures basses","平底鞋","ぺたんこの靴","Flat Shoes","平底鞋",
"str_cfgvehicles_ballerinas_blue0","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","$UNT$Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_athleticshoes_grey0","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.",
"str_cfgvehicles_athleticshoes_green0","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.",
"str_cfgvehicles_athleticshoes_colorbase1","All-terrain shoes, designed to protect the feet during everyday activities.","All-terrain shoes, designed to protect the feet during everyday activities.","Boty do každého terénu určené k ochraně chodidel při každodenních činnostech.","Allzweck- und Alltagsschuhe, die einen guten Schutz bieten.","Обувь для любой местности. Защищает ноги при повседневной носке.","Uniwersalne obuwie, chroniące stopy podczas codziennych czynności.","All-terrain shoes, designed to protect the feet during everyday activities.","Scarpe polivalenti concepite per proteggere i piedi durante le attività di tutti i giorni.","Zapatillas todoterreno, diseñadas para proteger el pie durante las actividades cotidianas.","Des chaussures pour tous les terrains, elles protègent bien le pied lors des activités quotidiennes.","適合所有地形，適合每天穿著並保護雙腳。","どんな地形でも歩ける靴。日々の活動で足を保護するようにデザインされている。","All-terrain shoes, designed to protect the feet during everyday activities.","全地形鞋，可在日常活动中保护双脚。",
"str_cfgvehicles_athleticshoes_colorbase0","Athletic Shoes","Athletic Shoes","Sportovní boty","Turnschuhe","Спортивные ботинки","Buty sportowe","Athletic Shoes","Scarpe sportive","Tenis","Baskets","運動鞋","運動靴","Athletic Shoes","运动鞋",
"str_cfgvehicles_athleticshoes_brown0","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.",
"str_cfgvehicles_athleticshoes_blue0","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.",
"str_cfgvehicles_athleticshoes_black0","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","$UNT$An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.",
"str_cfgvehicles_athleticshoesabove0","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far","$UNT$AthleticShoesAbove male model only so far",
"str_cfgvehicles_dressshoes_colorbase0","Dress Shoes","Dress Shoes","Oblekové boty","Halbschuhe
","Туфли","Buty wizytowe","Dress Shoes","Scarpe da sera","Zapatos de vestir","Chaussures de ville","皮鞋","ドレス・シューズ","Dress Shoes","时装鞋",
"str_cfgvehicles_dressshoes_colorbase1","Shoes, part of men's formal outfit. Strangely enough, they go well with tracksuits.","Shoes, part of men's formal outfit. Strangely enough, they go well with tracksuits.","Boty, které jsou součástí formálního oblečení. Je zvláštní, že se hodí k teplákům.","Bestandteil eines formellen Outfits. Komischerweise passen sie auch gut zu Jogginghosen.","Часть строго мужского костюма. Как ни странно, они хорошо сочетаются со спортивными костюмами.","Część eleganckiego stroju męskiego. O dziwo pasują do dresów.","Shoes, part of men's formal outfit. Strangely enough, they go well with tracksuits.","Parte del completo formale da uomo. Stranamente, si abbinano bene alle tute.","Zapatos que forman parte del atuendo formal de un hombre. Curiosamente, quedan bien con un chándal.","Des chaussures pour homme, à porter dans des contextes formels. Étrangement, elles ne détonent pas avec un survêtement.","鞋子，是男性正式服裝的一部份。奇怪的是，和運動褲很搭。","男性が正装する時に履く靴。意外にもトラックスーツと合う。","Shoes, part of men's formal outfit. Strangely enough, they go well with tracksuits.","男士鞋，是正装的一部分。说来奇怪，它们跟运动服搭配竟然很不错。",
"str_cfgvehicles_ttskoboots0","Combat Boots","Combat Boots","Bojové boty","Kampfstiefel","Армейские ботинки","Buty bojowe","Combat Boots","Scarponi da combattimento","Botas de combate","Chaussures de combat","戰鬥靴","戦闘ブーツ","Combat Boots","战靴",
